data_source,n_dayperson,parameter_id,parameter,test,detector,peak_detection_rate_tp,peak_tp_to_tn_ratio,days_to_50pct_detection,source_file
real_crp,50,8,CRP,ks,Kolmogorov-Smirnov,0.136,5.037037037037037,,bootstrap_detection_rate_metrics_50.csv
real_crp,50,8,CRP,led,AIC,0.638,1.402197802197802,8.963157894733797,bootstrap_detection_rate_metrics_50.csv
real_crp,50,8,CRP,mwu,Mann-Whitney,0.198,5.823529411764706,,bootstrap_detection_rate_metrics_50.csv
real_crp,250,8,CRP,ad,Anderson-Darling,0.814,23.941176470588232,,bootstrap_detection_rate_metrics_250.csv
real_crp,250,8,CRP,chow,Chow-test,0.487,2.735955056179775,,bootstrap_detection_rate_metrics_250.csv
real_crp,250,8,CRP,ks,Kolmogorov-Smirnov,0.64,29.090909090909093,,bootstrap_detection_rate_metrics_250.csv
real_crp,250,8,CRP,led,AIC,0.853,1.9386363636363635,7.832951945069444,bootstrap_detection_rate_metrics_250.csv
real_crp,250,8,CRP,mwu,Mann-Whitney,0.713,22.28125,,bootstrap_detection_rate_metrics_250.csv
synthetic,10,8,CRP,ad,Anderson-Darling,0.161,4.351351351351352,,synthetic_detection_rate_metrics_10.csv
synthetic,10,8,CRP,chow,Chow-test,0.727,1.663615560640732,34.094594594583334,synthetic_detection_rate_metrics_10.csv
synthetic,10,8,CRP,ks,Kolmogorov-Smirnov,0.131,4.09375,,synthetic_detection_rate_metrics_10.csv
synthetic,10,8,CRP,led,AIC,0.87,2.0,28.35,synthetic_detection_rate_metrics_10.csv
synthetic,10,8,CRP,mwu,Mann-Whitney,0.164,4.96969696969697,,synthetic_detection_rate_metrics_10.csv
synthetic,50,8,CRP,ad,Anderson-Darling,0.551,15.305555555555555,47.49180327868056,synthetic_detection_rate_metrics_50.csv
synthetic,50,8,CRP,chow,Chow-test,0.847,1.8948545861297537,25.20792079207176,synthetic_detection_rate_metrics_50.csv
synthetic,50,8,CRP,ks,Kolmogorov-Smirnov,0.443,13.424242424242424,,synthetic_detection_rate_metrics_50.csv
synthetic,50,8,CRP,led,AIC,0.996,2.160520607375271,21.0,synthetic_detection_rate_metrics_50.csv
synthetic,50,8,CRP,mwu,Mann-Whitney,0.545,15.138888888888893,47.83870967741898,synthetic_detection_rate_metrics_50.csv
synthetic,250,8,CRP,ad,Anderson-Darling,0.993,31.03125,33.80049875311342,synthetic_detection_rate_metrics_250.csv
synthetic,250,8,CRP,chow,Chow-test,0.934,2.098876404494382,19.65625,synthetic_detection_rate_metrics_250.csv
synthetic,250,8,CRP,ks,Kolmogorov-Smirnov,0.983,28.08571428571428,35.09296482412037,synthetic_detection_rate_metrics_250.csv
synthetic,250,8,CRP,led,AIC,0.996,2.155844155844156,15.419354838703704,synthetic_detection_rate_metrics_250.csv
synthetic,250,8,CRP,mwu,Mann-Whitney,0.992,27.55555555555556,33.829207920787034,synthetic_detection_rate_metrics_250.csv
synthetic,1250,8,CRP,ad,Anderson-Darling,1.0,23.809523809523807,25.71218487394676,synthetic_detection_rate_metrics_1250.csv
synthetic,1250,8,CRP,chow,Chow-test,1.0,2.2522522522522523,12.781249999988423,synthetic_detection_rate_metrics_1250.csv
synthetic,1250,8,CRP,ks,Kolmogorov-Smirnov,1.0,24.390243902439025,26.74780701753472,synthetic_detection_rate_metrics_1250.csv
synthetic,1250,8,CRP,led,AIC,1.0,2.1052631578947367,2.5476190476157408,synthetic_detection_rate_metrics_1250.csv
synthetic,1250,8,CRP,mwu,Mann-Whitney,1.0,23.809523809523807,25.778481012650463,synthetic_detection_rate_metrics_1250.csv
